WILAYAH,PKB,Gerindra,PDIP,Golkar,NasDem,Garuda,Berkarya,PKS,Perindo,PPP,PSI,PAN,Hanura,Demokrat,PBB,PKPI
ACEH I,94.194,154.257,25.499,233.634,90.445,6.88,42.082,101.953,9.593,101.895,12.703,234.346,14.419,230.798,28.66,6.505
ACEH II,92.12,222.527,85.882,91.787,86.564,8.703,23.942,107.058,8.673,113.625,16.219,83.856,11.267,182.64,37.787,1.966
BALI,49.695,109.6,1.257.590,382.607,102.966,8.825,42.158,39.024,36.467,12.195,55.399,8.136,84.012,118.83,2.445,3.417
BANTEN I,93.166,225.079,141.747,144.194,100.611,6.878,28.256,151.646,68.16,110.823,7.807,46.433,11.475,178.316,10.752,2.563
BANTEN II,97.954,231.08,125.339,163.639,83.509,7.747,67.916,151.297,21.214,82.44,13.66,114.668,37.584,130.447,13.871,1.971
BANTEN III,256.685,420.429,647.633,375.725,123.128,11.3,100.018,375.097,75.546,119.749,130.01,188.924,59.906,244.628,26.793,5.951
BENGKULU,76.751,130.846,137.006,136.581,94.172,7.582,23.633,98.952,37.657,30.394,17.759,121.99,16.392,38.426,8.21,10.633
DAERAH ISTIMEWA YOGYAKARTA,264.698,191.346,654.088,152.903,166.68,8.675,60.611,229.815,27.364,62.357,45.347,237.731,6.987,62.708,9.378,3.667
DKI JAKARTA I,99.114,251.054,360.141,79.644,56.313,4.273,23.115,343.789,42.632,68.986,105.136,171.081,30.184,82.964,10.614,2.982
DKI JAKARTA II,126.501,393.674,595.249,162.706,126.439,7.802,36.722,477.773,92.228,68.896,232.268,118.225,17.24,143.673,16.49,6.905
DKI JAKARTA III,78.548,344.131,669.652,80.414,151.908,4.729,24.933,295.143,62.891,40.749,245.667,123.537,15.821,133.666,20.73,2.957
GORONTALO,11.973,87.748,37.423,194.66,169.509,2.39,13.786,24.945,6.116,69.784,3.491,21.84,7.041,35.212,1.937,590
JAMBI,120.092,224.103,233.633,360.297,124.126,7.857,50.77,103.28,55.752,81.049,37.461,196.085,13.944,156.812,18.212,2.601
JAWA BARAT I,64.194,274.433,280.555,154.182,100.826,6.976,20.379,344.632,72.546,41.624,93.161,67.053,16.65,145.538,17.927,2.952
JAWA BARAT II,235.607,463.231,357.145,433.249,206.603,10.787,64.845,371.251,87.086,67.232,44.278,144.832,17.813,265.7,39.934,7.139
