ILAYAH,PKB,Gerindra,PDIP,Golkar,NasDem,Garuda,Berkarya,PKS,Perindo,PPP,PSI,PAN,Hanura,Demokrat,PA,Partai SIRA,PD Aceh,PNA,PBB,PKPI
"ACEH (99,5%)",129.955,232.216,48.147,247.606,130.083,7.139,16.584,149.978,7.872,157.773,11.727,207.146,40.791,291.149,550.776,38.251,86.236,176.219,53.71,19.269
"SUMATERA UTARA (99,8%)",237.095,880.444,1.153.174,880.737,640.122,25.102,61.188,615.68,241.34,209.506,105.464,446.399,346.858,561.19,0,0,0,0,94.841,107.501
SUMATERA BARAT (100%),104.387,563.871,129.731,261.978,144.553,18.339,67.835,468.942,49.535,157.512,29.054,341.337,102.692,352.364,0,0,0,0,60.566,26.304
RIAU (100%),213.479,351.582,364.151,449.623,146.611,19.251,66.365,334.704,58.369,156.243,23.592,316.825,108.46,295.302,0,0,0,0,36.262,11.563
JAMBI (100%),181.248,210.615,260.35,210.715,104.401,7.771,54.567,133.409,60.27,101.996,14.009,184.453,55.3,185.468,0,0,0,0,42.713,7.245
"SUMATERA SELATAN (97,4%)",371.65,503.753,565.531,550.433,375.681,24.136,109.392,284.365,169.803,149.737,44.123,316.114,264.832,426.656,0,0,0,0,91.909,17.383
BENGKULU (100%),79.799,110.601,157.912,158.508,87.857,7.431,18.261,73.637,57.019,55.232,9.707,72.381,49.836,82.116,0,0,0,0,13.95,20.891
LAMPUNG (100%),397.3,526.304,900.828,466.669,419.466,31.799,85.435,386.797,138.795,113.424,48.262,321.907,36.178,398.35,0,0,0,0,19.285,9.076
KEPULAUAN BANGKA BELITUNG (100%),27.265,77.095,151.627,95.741,57,2.583,14.833,42.546,21.576,71.102,2.996,33.718,18.153,55.602,0,0,0,0,27.458,780
KEPULAUAN RIAU (100%),42.909,90.679,151.739,136.477,97.676,1.934,13.558,98.744,19.761,38.06,14.909,60.667,59.658,89.022,0,0,0,0,4.231,1.217
DKI JAKARTA (100%),318.282,919.473,1.296.369,296.069,302.359,20.815,99.805,904.348,169.521,181.798,390.967,370.33,102.34,377.463,0,0,0,0,44.885,21.964
"JAWA BARAT (99,6%)",1.895.954,4.116.424,3.458.378,2.895.529,1.026.784,117.593,560.207,3.451.485,665.796,1.109.544,385.866,1.327.473,296.168,1.738.392,0,0,0,0,274.455,62.958
JAWA TENGAH (100%),2.708.778,1.617.908,5.866.043,1.697.756,833.859,83.615,291.722,1.223.035,383.657,1.091.288,200.256,855.771,160.666,940.762,0,0,0,0,51.819,25.78
DAERAH ISTIMEWA YOGYAKARTA (100%),208.303,221.441,639.98,187.081,132.62,8.992,42.933,231.285,26.726,60.486,42.046,230.308,10.111,77.599,0,0,0,0,19.633,3.73
"JAWA TIMUR (98,5%)",4.315.203,2.200.999,4.016.608,1.807.823,1.650.102,95.319,352.867,950.108,506.915,952.273,309.48,1.192.984,359.715,1.814.917,0,0,0,0,168.299,46.993
BANTEN (100%),449.348,894.194,854.818,728.89,274.242,32.407,181.378,647.116,132.967,337.116,144.856,336.931,133.31,524.446,0,0,0,0,76.189,12.508
BALI (100%),41.9,164.133,1.294.799,316.054,125.556,8.207,23.605,27.609,39.691,16.425,42.954,12.183,58.33,172.097,0,0,0,0,1.93,12.468
NUSA TENGGARA BARAT (100%),198.802,370.546,182.314,335.965,196.778,31.094,115.596,237.435,60.922,256.893,13.657,223.582,121.435,232.879,0,0,0,0,122.036,25.157
NUSA TENGGARA TIMUR (100%),211.75,157.112,349.182,344.821,305.361,62.663,96.155,81.442,148.738,54.545,100.517,204.424,165.754,166.069,0,0,0,0,18.528,82.094
KALIMANTAN BARAT (100%),178.147,281.005,629.922,298.769,232.107,13.722,43.614,138.395,102.229,121.445,28.727,167.659,138.901,262.934,0,0,0,0,12.884,67.359
KALIMANTAN TENGAH (100%),89.055,101.781,281.67,159.405,128.802,7.112,17.542,42.253,54.027,61.118,13.263,66.453,40.39,121.003,0,0,0,0,6.172,9.808
"KALIMANTAN SELATAN (96,9%)",145.77,264.524,270.724,398.033,104.517,8.65,33.338,161.697,39.009,125.496,15.542,183.752,37.129,105.37,0,0,0,0,20.203,5.28
"KALIMANTAN TIMUR (99,9%)",113.2,220.581,280.43,342.368,93.869,5.663,45.805,148.648,52.414,98.333,19.916,117.47,62.836,119.764,0,0,0,0,15.624,2.781
SULAWESI UTARA (100%),39.767,93.384,536.902,216.442,190.436,8.015,33.323,30.634,39.591,21.924,26.658,64.608,29.306,115.259,0,0,0,0,5.305,11.757
SULAWESI TENGAH (100%),104.355,195.838,163.478,199.578,219.655,11.496,49.272,95.866,72.379,53.342,23.306,101.065,86.565,116.608,0,0,0,0,33.586,5.094
SULAWESI SELATAN (100%),331.771,542.068,351.758,671.514,556.487,37.45,155.801,368.681,142.673,313.579,71.355,372.42,190.283,421.807,0,0,0,0,90.268,14.314
"SULAWESI TENGGARA (99,9%)",83.348,95.221,120.626,210.629,117.212,8.757,35.192,113.637,26.945,61.665,6.02,178.669,39.915,155.849,0,0,0,0,52.006,1.893
GORONTALO (100%),14.001,54.549,88.822,138.717,73.729,1.29,18.491,53.139,13.185,73.973,2.128,62.402,36.35,48.958,0,0,0,0,2.996,253
SULAWESI BARAT (100%),35.718,73.844,88.316,95.477,88.819,7.819,6.499,16.824,34.186,26.888,2.918,57.109,41.79,123.972,0,0,0,0,4.335,5.091
"MALUKU (95,8%)",57.351,89.18,112.805,103.975,75.683,13.738,36.119,70.73,45.345,55.226,21.96,41.828,69.045,79.588,0,0,0,0,11.947,31.716
"MALUKU UTARA (99,9%)",30.299,54.144,102.451,93.26,48.133,27.026,22.827,41.274,30.693,12.714,4.996,39.01,32.459,52.439,0,0,0,0,22.514,12.96
"PAPUA (67,3%)",127.677,131.347,152.089,173.733,320.005,48.046,82.103,126.995,103.566,43.16,37.853,256.796,134.585,299.217,0,0,0,0,36.121,27.318
"PAPUA BARAT (78,1%)",17.086,32.743,59.775,78.511,62.165,5.702,12.183,17.668,17.309,3.845,8.641,29.012,22.555,46.502,0,0,0,0,4.261,20.429
KALIMANTAN UTARA (100%),19.588,37.559,39.378,31.937,25.693,516,5.53,21.433,15.774,15.257,4.602,19.573,36.696,39.313,0,0,0,0,10.42,6.414
