WILAYAH,PKB,Gerindra,PDIP,Golkar,NasDem,Garuda,Berkarya,PKS,Perindo,PPP,PSI,PAN,Hanura,Demokrat,PA,Partai SIRA,PD Aceh,PNA,PBB,PKPI
ACEH (99%),113.071,259.857,56.332,288.619,170.669,6.5,34.136,151.321,5.782,129.883,7.293,196.695,95.173,269.178,472.052,40.416,87.15,202.778,63.822,21.245
"SUMATERA UTARA (99,8%)",328.148,892.838,1.057.140,1.036.783,664.942,29.444,104.322,453.808,280.942,317.088,103.926,552.294,454.483,606.442,0,0,0,0,132.514,126.608
SUMATERA BARAT (100%),123.709,435.812,151.402,279.683,192.195,17.058,82.562,349.621,68.633,191.852,26.995,331.89,139.242,309.727,0,0,0,0,91.759,15.516
RIAU (100%),219.853,355.504,344.563,426.63,229.25,21.548,56.262,295.078,60.697,205.249,21.263,317.635,146.247,293.433,0,0,0,0,59.205,26.085
JAMBI (100%),162.665,203.666,225.208,268.567,148.73,6.378,43.894,152.304,74.619,112.048,8.089,252.673,72.813,180.539,0,0,0,0,43.519,14.137
"SUMATERA SELATAN (94,3%)",341.527,469.329,553.044,538.811,378.652,18.291,82.944,296.89,163.6,224.755,25.328,388.761,264.342,414.054,0,0,0,0,117.336,35.106
BENGKULU (100%),74.102,111.022,129.974,136.206,121.104,7.984,21.026,72.514,72.482,55.383,5.931,103.508,65.254,90.691,0,0,0,0,22.246,38.975
LAMPUNG (100%),443.525,539.867,843.367,504.55,444.65,21.078,56.903,392.261,147.03,144.269,29.137,381.791,81.003,462.191,0,0,0,0,19.849,19.963
KEPULAUAN BANGKA BELITUNG (100%),39.636,83.221,125.374,85.464,70.399,1.985,15.241,54.7,26.254,54.658,1.65,45.88,39.402,61.135,0,0,0,0,32.633,4.439
KEPULAUAN RIAU (100%),44.947,95.54,121.193,133.087,127.697,4.168,13.477,80.684,25.083,45.696,14.969,73.85,61.144,91.965,0,0,0,0,6.839,5.063
DKI JAKARTA,Data belum tersedia,,,,,,,,,,,,,,,,,,,
"JAWA BARAT (99,4%)",2.111.773,3.770.530,3.468.494,3.420.501,1.297.317,106.206,508.126,3.092.261,627.495,1.546.592,360.058,1.565.368,526.285,1.891.968,0,0,0,0,367.534,60.965
JAWA TENGAH (100%),2.990.789,2.007.746,5.662.221,2.290.186,1.120.424,61.088,238.658,1.400.921,377.161,1.443.178,147.997,1.060.588,426.727,1.172.887,0,0,0,0,49.47,20.444
DAERAH ISTIMEWA YOGYAKARTA (100%),241.741,262.947,576.176,184.3,183.31,7.808,30.636,207.746,20.79,87.252,30.813,268.678,13.287,95.365,0,0,0,0,21.106,2.713
