WILAYAH,PKB,Gerindra,PDIP,Golkar,NasDem,Garuda,Berkarya,PKS,Perindo,PPP,PSI,PAN,Hanura,Demokrat,PBB,PKPI
"ACEH (99,5%)",180.166,368.568,109.872,314.757,174.377,16.181,65.121,204.204,18.66,209.283,28.781,309.143,25.614,403.139,63.989,10.101
"SUMATERA UTARA (99,7%)",246.154,885.963,1.362.126,866.697,791.204,20.671,90.217,622.978,285.136,204.484,98.73,511.739,125.511,382.883,57.898,22.288
SUMATERA BARAT (100%),88.557,579.105,132.588,200.319,203.978,18.34,55.498,425.114,44.045,140.376,38.4,406.606,48.27,368.603,45.347,6.098
RIAU (100%),194.117,387.03,372.527,347.982,160.591,14.944,70.947,367.366,76.659,167.122,37.495,279.96,66.26,321.018,28.942,6.285
JAMBI (100%),118.698,220.134,228.702,358.007,122.668,8.01,50.304,101.839,55.552,79.96,36.465,191.892,13.93,153.942,17.979,4.962
"SUMATERA SELATAN (97,3%)",311.177,601.29,510.595,642.724,581.381,29.55,110.062,249.829,119.046,111.791,48.009,239.862,85.718,365.75,54.143,15.436
BENGKULU (100%),77.359,130.05,136.023,135.73,93.716,7.844,23.459,98.676,37.7,30.183,17.732,120.586,16.474,38.052,8.237,11.143
LAMPUNG (100%),432.089,484.517,877.181,506.429,360.899,28.83,95.5,337.402,132.941,111.876,59.028,332.107,41.959,482.344,15.689,10.549
KEPULAUAN BANGKA BELITUNG (100%),19.189,74.565,169.058,101.325,83.046,3.783,13.135,34.214,16.109,36.253,4.695,14.811,12.07,57.564,37.149,1.774
KEPULAUAN RIAU (100%),33.777,75.912,145.488,172.418,121.579,3.878,16.119,79.483,18.477,18.937,20.439,99.421,15.812,74.895,7.41,1.308
DKI JAKARTA (100%),243.826,900.169,1.385.902,240.055,268.213,15.546,74.791,1.034.204,175.152,159.188,502.579,392.901,60.835,324.796,45.443,17.481
"JAWA BARAT (99,5%)",1.883.933,4.233.945,3.431.485,3.181.077,1.191.326,119.619,561.106,3.202.367,687.905,1.092.468,400.494,1.650.938,273.277,1.789.899,234.767,59.833
JAWA TENGAH (100%),2.718.640,1.692.508,5.702.538,2.365.677,1.484.571,71.559,323.257,1.105.889,422.283,960.138,251.334,824.45,170.432,1.115.880,48.53,31.449
DAERAH ISTIMEWA YOGYAKARTA (100%),261.473,187.594,638.342,150.426,163.68,8.945,59.965,223.991,27.349,60.292,44.562,231.148,7.272,61.392,9.63,4.787
"JAWA TIMUR (99,1%)",4.209.000,2.396.206,4.208.477,2.173.664,2.105.356,86.074,335.025,848.117,476.355,1.165.730,328.154,1.170.246,253.274,1.785.111,100.425,43.51
BANTEN (100%),451.898,861.279,2.005.834,673.733,304.243,27.935,194.722,665.084,163.957,308.244,149.887,342.47,108.859,542.185,51.476,15.483
BALI (100%),49.358,109.491,1.244.233,377.362,102.712,8.959,41.544,38.669,36.075,12.201,54.666,8.417,82.952,117.1,2.717,3.384
NUSA TENGGARA BARAT (100%),188.525,434.438,193.585,326.888,159.777,34.108,118.719,289.023,64.479,235.24,24.71,197.713,101.119,204.713,72.356,13.972
NUSA TENGGARA TIMUR (100%),198.097,140.454,446.136,363.016,504.372,30.009,73.49,52.688,125.394,30.272,69.517,157.12,135.118,197.651,9.52,17.213
KALIMANTAN BARAT (100%),190.577,261.878,771.851,266.2,266.808,11.409,59.313,165.878,83.21,110.2,30.496,199.497,80.347,168.846,11.164,12.843
