WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
BALANGAN (100%),21.466,54.441
BANJAR (100%),102.15,216.477
BARITO KUALA (100%),65.955,109.147
HULU SUNGAI SELATAN (100%),36.579,95.727
HULU SUNGAI TENGAH (100%),29.844,126.159
HULU SUNGAI UTARA (100%),34.487,93.906
KOTA BANJARBARU (100%),57.078,74.929
KOTA BANJARMASIN (100%),130.419,229.734
KOTABARU (100%),91.218,79.961
TABALONG (100%),44.232,100.566
TANAH BUMBU (100%),91.192,94.564
TANAH LAUT (100%),87.881,106.914
TAPIN (100%),30.718,85.381
