WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
BOLAANG MONGONDOW (100%),85.007,62.826
BOLAANG MONGONDOW SELATAN (100%),17.495,24.879
BOLAANG MONGONDOW TIMUR (100%),24.03,24.65
BOLAANG MONGONDOW UTARA (100%),25.71,24.652
KEPULAUAN SANGIHE (100%),70.504,15.744
KEPULAUAN SIAU TAGULANDANG BIARO (100%),38.255,7.1
KEPULAUAN TALAUD (100%),52.558,5.207
KOTA BITUNG (100%),97.896,21.283
KOTA KOTAMOBAGU (100%),28.846,43.848
KOTA MANADO (100%),213.963,52.032
KOTA TOMOHON (100%),59.879,5.365
MINAHASA (100%),198.803,22.337
MINAHASA SELATAN (100%),128.882,16.925
MINAHASA TENGGARA (100%),62.497,13.294
MINAHASA UTARA (100%),113.978,18.989
