WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
ACEH BARAT (100%),15.8,97.185
ACEH BARAT DAYA (100%),8.787,76.541
ACEH BESAR (100%),19.601,203.387
ACEH JAYA (100%),5.64,47.937
ACEH SELATAN (100%),12.571,120.251
ACEH SINGKIL (100%),18.383,48.354
ACEH TAMIANG (100%),24.075,130.185
ACEH TENGAH (100%),47.145,73.103
"ACEH TENGGARA (99,3%)",33.769,90.092
ACEH TIMUR (100%),21.271,177.136
ACEH UTARA (100%),23.835,284.458
BENER MERIAH (100%),36.5,53.343
BIREUEN (100%),15.298,209.75
GAYO LUES (100%),18.773,35.439
KOTA BANDA ACEH (100%),15.125,106.554
KOTA LANGSA (100%),10.368,81.317
KOTA LHOKSEUMAWE (100%),8.001,87.055
KOTA SABANG (100%),2.731,19.173
KOTA SUBULUSSALAM (100%),9.336,39.148
NAGAN RAYA (100%),12.932,86.648
PIDIE (100%),17.892,210.432
PIDIE JAYA (100%),6.644,80.633
"SIMEULUE (95,9%)",17.997,29.783
