WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
BANDUNG (100%),778.856,1.245.820
BANDUNG BARAT (100%),358.905,649.894
BEKASI (100%),591.107,1.042.051
BOGOR (100%),860.384,2.029.779
CIAMIS (100%),298.913,431.938
CIANJUR (100%),461.008,774.195
CIREBON (100%),822.615,449.43
GARUT (100%),411.887,1.067.391
INDRAMAYU (100%),704.388,281.587
KARAWANG (100%),584.803,779.48
KOTA BANDUNG (100%),620.555,866.384
KOTA BANJAR (100%),63.027,55.648
KOTA BEKASI (100%),617.185,751.461
KOTA BOGOR (100%),228.194,399.224
KOTA CIMAHI (100%),120.182,213.739
KOTA CIREBON (100%),103.878,93.136
KOTA DEPOK (100%),462.228,615.615
KOTA SUKABUMI (100%),61.607,138.644
KOTA TASIKMALAYA (100%),111.781,314.27
KUNINGAN (100%),252.289,376.175
MAJALENGKA (100%),346.928,425.01
PANGANDARAN (100%),164.069,96.966
PURWAKARTA (100%),156.095,405.926
SUBANG (100%),536.458,392.636
SUKABUMI (100%),400.469,1.011.896
SUMEDANG (100%),309.241,407.784
TASIKMALAYA (100%),302.177,728.708
