WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
BANJARNEGARA (100%),410.309,171.062
BANYUMAS (100%),790.604,274.621
BATANG (100%),395.322,91.918
BLORA (100%),446.711,104.236
BOYOLALI (100%),581.027,94.318
BREBES (100%),739.374,318.345
CILACAP (100%),774.077,289.229
DEMAK (100%),544.97,161.237
GROBOGAN (100%),732.56,125.038
JEPARA (100%),594.646,114.725
KARANGANYAR (100%),463.481,114.478
KEBUMEN (100%),545.496,208.921
KENDAL (100%),493.114,134.644
KLATEN (100%),646.611,164.739
KOTA MAGELANG (100%),56.141,25.267
KOTA PEKALONGAN (100%),138.336,49.916
KOTA SALATIGA (100%),94.215,26.523
KOTA SEMARANG (100%),779.685,221.026
KOTA SURAKARTA (100%),301.627,65.171
KOTA TEGAL (100%),97.007,58.796
KUDUS (100%),406.424,123.674
MAGELANG (100%),600.718,230.502
PATI (100%),696.665,115.859
PEKALONGAN (100%),447.155,111.641
PEMALANG (100%),592.411,193.375
PURBALINGGA (100%),420.038,152.639
PURWOREJO (100%),341.564,121.121
REMBANG (100%),320.32,87.96
SEMARANG (100%),536.118,122.906
SRAGEN (100%),485.47,114.424
SUKOHARJO (100%),424.446,127.162
TEGAL (100%),549.486,320.051
TEMANGGUNG (100%),412.907,102.081
WONOGIRI (100%),516.053,94.673
WONOSOBO (100%),409.628,107.167
