WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
BANGKALAN (100%),435.872,317.828
BANYUWANGI (100%),710.891,273.523
BLITAR (100%),636.843,111.038
BOJONEGORO (100%),560.593,273.457
BONDOWOSO (100%),213.422,277.08
GRESIK (100%),505.738,252.348
JEMBER (100%),891.241,484.795
JOMBANG (100%),615.022,187.427
KEDIRI (100%),814.945,173.277
KOTA BATU (100%),101.321,35.434
KOTA BLITAR (100%),73.31,21.019
KOTA KEDIRI (100%),143.521,38.904
KOTA MADIUN (100%),85.012,34.032
KOTA MALANG (100%),345.127,167.834
KOTA MOJOKERTO (100%),60.722,24.765
KOTA PASURUAN (100%),71.354,54.028
KOTA PROBOLINGGO (100%),84.989,60.556
KOTA SURABAYA (100%),1.118.411,479.904
LAMONGAN (100%),515.778,282.348
LUMAJANG (100%),386.336,265.99
MADIUN (100%),333.848,113.478
MAGETAN (100%),286.038,136.383
MALANG (100%),1.167.760,382.318
MOJOKERTO (100%),531.163,165.048
NGANJUK (100%),540.441,131.952
NGAWI (100%),424.01,118.764
PACITAN (100%),116.009,230.623
PAMEKASAN (100%),102.652,529.77
PASURUAN (100%),589.334,378.134
PONOROGO (100%),421.365,166.478
PROBOLINGGO (100%),427.432,278.12
SAMPANG (100%),192.35,562.61
SIDOARJO (100%),816.047,349.739
SITUBONDO (100%),202.721,203.949
SUMENEP (100%),242.835,436.379
TRENGGALEK (100%),351.836,104.756
TUBAN (100%),532.824,195.783
TULUNGAGUNG (100%),540.169,120.057
