WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
BENGKAYANG (100%),107.311,30.352
KAPUAS HULU (100%),89.606,59.967
KAYONG UTARA (100%),25.527,38.467
KETAPANG (100%),165.417,124.12
KOTA PONTIANAK (100%),132.252,234.378
KOTA SINGKAWANG (100%),64.356,50.212
KUBU RAYA (100%),121.318,217.784
LANDAK (100%),212.79,33.772
MELAWI (100%),81.462,64.635
MEMPAWAH (100%),54.941,98.271
SAMBAS (100%),167.749,135.383
SANGGAU (100%),202.483,66.512
SEKADAU (100%),91.433,36.596
"SINTANG (99,9%)",190.502,70.151
