WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
BARITO SELATAN (100%),44.002,33.412
BARITO TIMUR (100%),43.148,23.952
BARITO UTARA (100%),46.18,31.428
GUNUNG MAS (100%),54.293,9.089
KAPUAS (100%),94.776,98.985
KATINGAN (100%),66.832,21.28
KOTA PALANGKARAYA (100%),88.739,61.007
KOTAWARINGIN BARAT (100%),79.039,61.271
KOTAWARINGIN TIMUR (100%),113.985,93.623
LAMANDAU (100%),38.051,10.601
MURUNG RAYA (100%),33.518,29.967
PULANG PISAU (100%),49.58,26.006
SERUYAN (100%),54.438,24.401
SUKAMARA (100%),22.015,11.191
