WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
"BERAU (99,9%)",78.128,49.086
KOTA BALIKPAPAN (100%),199.541,165.432
KOTA BONTANG (100%),53.707,44.943
KOTA SAMARINDA (100%),208.704,231.131
KUTAI BARAT (100%),73.836,17.255
KUTAI KARTANEGARA (100%),214.586,172.658
KUTAI TIMUR (100%),124.899,61.875
MAHAKAM ULU (100%),15.886,2.663
PASER (100%),68.35,81.412
PENAJAM PASER UTARA (100%),55.511,43.588
KOTA BANJARMASIN (100%),130.419,229.734
KOTABARU (100%),91.218,79.961
TABALONG (100%),44.232,100.566
TANAH BUMBU (100%),91.192,94.564
TANAH LAUT (100%),87.881,106.914
TAPIN (100%),30.718,85.381
