WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
KOTA BANDAR LAMPUNG (100%),258.778,295.94
KOTA METRO (100%),51.868,46.939
LAMPUNG BARAT (100%),101.21,75.949
LAMPUNG SELATAN (100%),373.892,201.425
LAMPUNG TENGAH (100%),490.053,241.103
LAMPUNG TIMUR (100%),415.957,179.326
LAMPUNG UTARA (100%),152.967,203.11
MESUJI (100%),85.416,33.926
PESAWARAN (100%),153.388,110.451
PESISIR BARAT (100%),46.479,42.805
PRINGSEWU (100%),149.347,92.225
TANGGAMUS (100%),165.714,174.884
TULANG BAWANG (100%),151.512,70.261
TULANG BAWANG BARAT (100%),105.677,59.754
WAY KANAN (100%),143.54,123.547
