WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
BURU (100%),40.009,35.919
BURU SELATAN (100%),19.806,19.798
"KEPULAUAN ARU (96,6%)",42.018,8.159
KOTA AMBON (100%),120.092,59.945
KOTA TUAL (100%),18.911,17.95
MALUKU BARAT DAYA (100%),40.471,4.031
MALUKU TENGAH (100%),114.174,116.425
MALUKU TENGGARA (100%),46.319,15.23
MALUKU TENGGARA BARAT (100%),54.564,4.886
SERAM BAGIAN BARAT (100%),58.817,70.439
"SERAM BAGIAN TIMUR (96,2%)",36.48,41.711
