WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
ALOR (100%),85.039,29.185
BELU (100%),81.645,17.333
ENDE (100%),114.267,32.25
FLORES TIMUR (100%),109.779,21.537
KOTA KUPANG (100%),175.697,22.614
KUPANG (100%),161.312,15.771
LEMBATA (100%),54.082,12.985
MALAKA (100%),80.772,9.282
MANGGARAI (100%),148.741,14.09
MANGGARAI BARAT (100%),111.717,23.984
MANGGARAI TIMUR (100%),132.218,16.25
NAGEKEO (100%),72.22,6.8
NGADA (100%),76.552,7.323
ROTE NDAO (100%),63.937,5.325
SABU RAIJUA (100%),39.001,1.945
SIKKA (100%),151.863,17.088
SUMBA BARAT (100%),54.172,5.051
SUMBA BARAT DAYA (100%),163.936,7.371
SUMBA TENGAH (100%),34.895,3.115
SUMBA TIMUR (100%),119.364,10.727
TIMOR TENGAH SELATAN (100%),212.969,14.22
TIMOR TENGAH UTARA (100%),117.863,11.369
