WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
"ASMAT (5,2%)",4.223,0
BIAK NUMFOR (100%),65.938,7.154
BOVEN DIGOEL (100%),27.873,3.824
DEIYAI (56%),26.366,6.774
"DOGIYAI (69,8%)",49.237,14.217
INTAN JAYA (100%),73.974,11.311
"JAYAPURA (91,1%)",66.011,17.083
"JAYAWIJAYA (65,5%)",174.681,495
KEEROM (92%),29.305,11.487
"KEPULAUAN YAPEN (6,1%)",4.599,0
"KOTA JAYAPURA (50,7%)",86.288,27.941
LANNY JAYA (100%),187.295,0
MAMBERAMO RAYA (100%),23.761,904
MAMBERAMO TENGAH (100%),37.592,0
MAPPI (100%),56.5,3.724
MERAUKE (100%),84.484,26.688
MIMIKA (47%),71.371,16.201
"NABIRE (47,8%)",67.413,20.926
NDUGA (100%),94.214,0
"PANIAI (98,3%)",72.588,27.224
"PEGUNUNGAN BINTANG (98,9%)",99.24,2.165
PUNCAK (68%),106.104,0
PUNCAK JAYA (100%),183.671,0
SARMI (100%),18.544,4.076
SUPIORI (100%),12.181,739
TOLIKARA (100%),230.532,233
WAROPEN (100%),31.76,2.407
YAHUKIMO (100%),287.829,5.456
YALIMO (100%),89.435,3
