WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
"FAKFAK (87,2%)",26.558,10.665
KAIMANA (100%),20.566,5.309
KOTA SORONG (100%),75.142,31.058
MANOKWARI (57%),43.192,12.341
MANOKWARI SELATAN (65%),16.496,965
MAYBRAT (100%),37.446,1.233
PEGUNUNGAN ARFAK (100%),32.134,386
RAJA AMPAT (100%),27.37,8.869
SORONG (100%),46.837,20.997
SORONG SELATAN (100%),36.132,6.042
TAMBRAUW (100%),23.862,1.479
TELUK BINTUNI (100%),34.931,7.241
TELUK WONDAMA (100%),16.964,2.339
