WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
BENGKALIS (100%),136.413,179.401
INDRAGIRI HILIR (100%),134.523,202.784
INDRAGIRI HULU (100%),100.422,134.832
KAMPAR (100%),123.099,283.892
KEPULAUAN MERANTI (100%),49.584,54.024
KOTA DUMAI (100%),65.904,92.146
KOTA PEKANBARU (100%),125.925,351.537
KUANTAN SINGINGI (100%),61.201,126.224
PELALAWAN (100%),83.859,97.843
ROKAN HILIR (100%),148.183,165.696
ROKAN HULU (100%),112.812,159.594
SIAK (100%),104.963,125.325
