WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
BANTAENG (100%),30.137,80.248
BARRU (100%),50.102,55.685
BONE (100%),238.497,189.272
BULUKUMBA (100%),79.423,159.552
ENREKANG (100%),30.914,96.906
GOWA (100%),152.68,264.054
JENEPONTO (100%),46.063,168.477
KEPULAUAN SELAYAR (100%),34.375,42.22
KOTA MAKASSAR (100%),304.926,417.167
KOTA PALOPO (100%),35.909,57.303
KOTA PARE PARE (100%),39.238,44.684
LUWU (100%),67.939,147.47
LUWU TIMUR (100%),72,82.702
LUWU UTARA (100%),70.939,107.787
MAROS (100%),79.315,126.654
PANGKAJENE DAN KEPULAUAN (100%),76.282,114.461
PINRANG (100%),88.023,140.507
SIDENRENG RAPPANG (100%),76.633,99.958
SINJAI (100%),37.408,107.778
SOPPENG (100%),83.222,60.042
TAKALAR (100%),66.973,108.054
TANA TORAJA (100%),117.057,15.986
TORAJA UTARA (100%),117.323,13.887
WAJO (100%),122.461,106.255
