WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
BANGGAI (100%),126.551,76.903
BANGGAI KEPULAUAN (100%),38.739,30.732
BANGGAI LAUT (100%),19.409,20.526
BUOL (100%),40.555,41.938
DONGGALA (100%),99.602,64.381
KOTA PALU (100%),76.889,103.539
MOROWALI (100%),31.857,47.965
MOROWALI UTARA (100%),49.256,19.421
PARIGI MOUTONG (100%),144.794,96.704
POSO (100%),96.643,33.378
SIGI (100%),79.217,62.059
TOJO UNA-UNA (100%),43.916,48.737
TOLITOLI (100%),66.325,59.027
