WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
"BOMBANA (99,3%)",36.292,47.625
BUTON (100%),34.755,23.143
BUTON SELATAN (100%),23.156,20.171
BUTON TENGAH (100%),22.415,27.02
BUTON UTARA (100%),19.687,19.392
KOLAKA (100%),43.964,85.625
KOLAKA TIMUR (100%),30.056,39.944
KOLAKA UTARA (100%),25.937,50.657
KONAWE (100%),47.383,97.684
KONAWE KEPULAUAN (100%),4.806,17.44
KONAWE SELATAN (100%),65.251,104.702
KONAWE UTARA (100%),16.046,22.666
KOTA BAU BAU (100%),35.486,43.615
KOTA KENDARI (100%),58.676,118.306
MUNA (100%),40.54,70.196
MUNA BARAT (100%),18.441,26.67
WAKATOBI (100%),31.356,25.173
