WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
AGAM (100%),25.502,231.383
DHARMASRAYA (100%),38.733,87.584
KEPULAUAN MENTAWAI (100%),40.978,9.21
KOTA BUKITTINGGI (100%),7.926,55.019
KOTA PADANG (100%),63.418,405.843
KOTA PADANG PANJANG (100%),3.993,27.645
KOTA PARIAMAN (100%),4.221,46.478
KOTA PAYAKUMBUH (100%),9.532,64.234
KOTA SAWAHLUNTO (100%),7.091,31.418
KOTA SOLOK (100%),4.955,35.611
LIMA PULUH KOTA (100%),25.697,185.562
PADANG PARIAMAN (100%),20.557,193.652
PASAMAN (100%),13.638,146.392
PASAMAN BARAT (100%),34.658,183.087
PESISIR SELATAN (100%),36.876,229.511
SIJUNJUNG (100%),15.705,110.012
SOLOK (100%),17.985,187.751
SOLOK SELATAN (100%),14.134,78.939
TANAH DATAR (100%),22.039,175.934
