WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
BANYUASIN (100%),230.826,227.026
EMPAT LAWANG (100%),43.085,106.702
KOTA LUBUKLINGGAU (100%),41.054,91.004
KOTA PAGAR ALAM (100%),40.847,49.412
"KOTA PALEMBANG (94,3%)",330.381,522.628
KOTA PRABUMULIH (100%),40.593,71.735
LAHAT (100%),72.211,181.138
MUARA ENIM (100%),123.583,227.483
MUSI BANYUASIN (100%),158.978,203.983
MUSI RAWAS (100%),98.701,141.262
MUSI RAWAS UTARA (100%),44.191,77.613
OGAN ILIR (100%),96.397,143.837
OGAN KOMERING ILIR (100%),207.533,224.047
OGAN KOMERING ULU (100%),51.971,162.003
OGAN KOMERING ULU SELATAN (100%),106.665,116.947
OGAN KOMERING ULU TIMUR (100%),183.855,220.69
PENUKAL ABAB LEMATANG ILIR (100%),45.961,65.235
LANGKAT (100%),237.428,328.59
MANDAILING NATAL (100%),41.532,195.163
NIAS (100%),60.796,4.018
NIAS BARAT (100%),35.597,2.552
NIAS SELATAN (100%),125.025,8.182
NIAS UTARA (100%),52.53,7.922
PADANG LAWAS (100%),29.213,105.967
PADANG LAWAS UTARA (100%),38.781,94.159
PAKPAK BHARAT (100%),19.57,8.911
SAMOSIR (100%),72.346,1.417
SERDANG BEDAGAI (100%),173.683,186.338
SIMALUNGUN (100%),334.685,156.197
TAPANULI SELATAN (100%),61.19,103.144
TAPANULI TENGAH (100%),128.88,42.203
TAPANULI UTARA (100%),152.259,9.659
TOBA SAMOSIR (100%),101.628,4.475
