WILAYAH,(01) Ir. H. JOKO WIDODO - Prof. Dr. (H.C) KH. MA'RUF AMIN,(02) H. PRABOWO SUBIANTO - H. SANDIAGA SALAHUDIN UNO
ASAHAN (100%),157.592,236.429
BATU BARA (100%),95.563,128.787
DAIRI (100%),145.467,17.094
DELI SERDANG (100%),445.03,526.805
HUMBANG HASUNDUTAN (100%),98.779,4.659
KARO (100%),202.377,17.507
KOTA BINJAI (100%),55.815,99.723
"KOTA GUNUNGSITOLI (92,7%)",54.2,8.871
KOTA MEDAN (100%),540.077,643.643
KOTA PADANG SIDEMPUAN (100%),25.011,91.768
KOTA PEMATANGSIANTAR (100%),106.556,37.719
KOTA SIBOLGA (100%),29.231,20.466
KOTA TANJUNG BALAI (100%),25.275,65.472
KOTA TEBING TINGGI (100%),42.52,53.629
LABUHANBATU (100%),84.105,158.054
LABUHANBATU SELATAN (100%),67.892,96.14
LABUHANBATU UTARA (100%),81.1,112.934
